Data;Mandante;Visitante;Rodada
23/11/2025;Athletico Paranaense;América Mineiro;38
23/11/2025;Chapecoense;Atlético Goianiense;38
23/11/2025;Remo;Goiás;38
23/11/2025;Novorizontino;CRB;38
23/11/2025;Botafogo-SP;Avaí;38
23/11/2025;Athletic;Paysandu;38
23/11/2025;Amazonas;Coritiba;38
23/11/2025;Cuiabá;Criciúma;38
23/11/2025;Operário-PR;Ferroviária;38
23/11/2025;Vila Nova;Volta Redonda;38
